cl objID RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000 umag e_umag gmag e_gmag rmag e_rmag imag e_imag zmag e_zmag ingalaxy
6 1237655504034725933 256.661177 0.064 35.437194 0.065 23.739 0.557 23.356 0.231 21.914 0.088 21.112 0.068 21.930 0.435 nan
6 1237655504034726004 256.661278 0.059 35.399457 0.059 22.459 0.215 22.305 0.099 18.533 0.008 17.934 0.008 17.626 0.015 nan
3 1237655504034726018 256.661303 0.359 35.392253 0.475 24.643 0.796 24.702 0.599 24.884 0.641 22.867 0.332 22.549 0.623 nan
6 1237655504034725996 256.662014 0.001 35.402982 0.001 19.422 0.024 17.181 0.004 16.251 0.004 15.939 0.004 15.782 0.006 nan
6 1237655504034661846 256.662017 0.065 35.485578 0.065 24.974 0.724 23.436 0.248 21.668 0.075 21.039 0.068 20.604 0.163 nan
3 1237655504034660542 256.662113 0.011 35.512066 0.013 22.167 0.185 20.445 0.025 19.439 0.014 19.043 0.015 18.723 0.035 nan
6 1237655504034725907 256.662490 0.001 35.450525 0.001 16.720 0.007 15.339 0.003 14.893 0.004 14.753 0.004 14.711 0.004 nan
6 1237655504034726001 256.662780 0.058 35.396332 0.058 15.333 0.007 13.952 0.003 13.045 0.001 13.094 0.002 13.721 0.006 nan
3 1237655504034726006 256.662961 0.400 35.394459 0.400 24.635 1.056 20.533 0.050 20.553 0.043 19.238 0.022 22.827 0.852 nan
3 1237655504034726553 256.663091 0.030 35.412126 0.033 22.146 0.201 21.348 0.051 20.359 0.030 20.084 0.035 19.809 0.098 nan
3 1237655504034726012 256.663135 0.120 35.390309 0.125 23.555 0.573 23.269 0.250 22.078 0.118 22.179 0.200 21.730 0.449 nan
6 1237655504034726694 256.663179 0.115 35.418964 0.119 24.593 0.679 25.253 0.523 24.234 0.468 22.490 0.194 21.837 0.373 nan
3 1237655504034727036 256.663390 0.097 35.406308 0.110 24.300 0.823 23.687 0.342 22.900 0.237 21.984 0.168 22.970 0.683 nan
6 1237655504034725929 256.663418 0.058 35.437942 0.058 17.879 0.013 15.670 0.004 14.064 0.003 12.919 0.002 12.473 0.005 nan
3 1237655504034726693 256.663684 0.065 35.420208 0.073 22.236 0.217 22.041 0.092 21.236 0.061 20.928 0.073 20.158 0.134 nan
6 1237655504034661853 256.663799 0.093 35.483388 0.117 24.529 0.666 25.267 0.521 22.661 0.156 24.141 0.563 22.607 0.526 nan
3 1237655504034727200 256.664146 0.247 35.414311 0.217 23.550 0.803 23.468 0.392 22.538 0.249 21.338 0.141 20.867 0.328 nan
3 1237655504034726620 256.664239 0.034 35.458524 0.034 22.857 0.402 21.476 0.062 20.285 0.031 19.875 0.034 19.641 0.096 1.0
6 1237655504034726019 256.664736 0.277 35.399966 0.282 24.972 0.629 25.170 0.535 24.071 0.436 22.742 0.238 22.820 0.533 nan
6 1237655504034726013 256.664844 0.196 35.389539 0.287 25.188 0.602 24.960 0.557 24.829 0.556 24.635 0.554 21.068 0.224 nan
3 1237655504034726008 256.664977 0.067 35.397862 0.060 23.326 0.478 22.030 0.087 21.598 0.076 21.232 0.085 22.652 0.653 nan
6 1237655504034726005 256.665602 0.005 35.391129 0.005 21.772 0.116 19.684 0.014 18.750 0.009 18.399 0.009 18.246 0.022 nan
3 1237655504034726010 256.665791 0.107 35.398319 0.087 24.057 0.677 24.142 0.435 22.209 0.115 21.828 0.124 21.728 0.389 nan
3 1237655504034661146 256.666162 0.022 35.480728 0.021 22.170 0.164 21.114 0.035 20.680 0.031 20.461 0.039 20.619 0.150 nan
6 1237655504034726007 256.666199 0.026 35.389144 0.027 24.552 0.664 22.683 0.124 21.216 0.046 20.686 0.043 20.352 0.116 nan
6 1237655504034661521 256.666245 0.136 35.515495 0.168 23.979 0.575 23.344 0.205 24.028 0.427 23.420 0.416 22.028 0.412 nan
6 1237655504034726003 256.666486 0.002 35.393825 0.002 21.174 0.075 18.508 0.008 17.140 0.005 16.549 0.005 16.244 0.007 nan
3 1237655504034661627 256.666667 0.183 35.472346 0.251 24.454 0.847 24.807 0.636 22.523 0.175 21.574 0.120 20.627 0.189 nan
6 1237655504034726002 256.666784 0.002 35.394604 0.002 20.980 0.066 18.324 0.007 16.987 0.005 16.450 0.005 16.164 0.007 nan
3 1237655504034726015 256.666843 0.213 35.399457 0.210 24.910 0.811 23.029 0.201 24.339 0.624 22.571 0.276 21.860 0.487 nan
6 1237655504034661966 256.666851 0.145 35.494422 0.147 24.949 0.670 24.322 0.432 23.534 0.327 22.389 0.198 21.869 0.399 nan
3 1237655504034727028 256.667005 0.133 35.419097 0.120 22.775 0.582 22.453 0.218 21.852 0.176 22.477 0.487 21.645 0.796 nan
3 1237655504034725932 256.667377 0.226 35.437202 0.173 24.760 0.861 23.336 0.263 22.233 0.138 21.279 0.096 21.603 0.420 nan
