cl objID RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000 umag e_umag gmag e_gmag rmag e_rmag imag e_imag zmag e_zmag ingalaxy
6 1237655504034727066 256.746818 0.153 35.427562 0.177 24.045 0.646 23.676 0.295 22.733 0.182 22.386 0.199 21.796 0.404 0.0
3 1237655504034726434 256.746913 0.015 35.419410 0.016 24.187 0.972 20.935 0.041 19.474 0.017 18.947 0.017 18.612 0.041 1.0
3 1237655504034726944 256.747209 0.036 35.346173 0.037 22.733 0.298 21.777 0.067 20.949 0.044 20.682 0.054 20.579 0.176 1.0
3 1237655504034726575 256.747526 0.019 35.412240 0.018 21.783 0.127 21.003 0.034 20.459 0.028 20.055 0.029 19.838 0.084 1.0
3 1237655504034726804 256.747703 0.025 35.422240 0.023 23.901 0.660 21.811 0.067 20.422 0.028 19.813 0.026 19.448 0.065 1.0
3 1237655504034727049 256.747714 0.119 35.440172 0.106 24.787 0.743 24.117 0.413 22.731 0.185 21.024 0.065 20.275 0.123 1.0
6 1237655504034727180 256.747725 0.099 35.481394 0.096 23.802 0.546 24.470 0.467 23.746 0.383 22.120 0.153 21.209 0.248 0.0
6 1237655504034727008 256.747741 0.115 35.483368 0.112 25.463 0.552 23.955 0.361 22.664 0.172 21.804 0.124 21.099 0.241 0.0
6 1237655504034726590 256.747839 0.023 35.335191 0.023 21.518 0.095 21.262 0.038 20.937 0.037 20.917 0.052 20.922 0.187 0.0
3 1237655504034726888 256.748056 0.115 35.387139 0.123 24.507 0.738 23.034 0.180 22.693 0.177 22.083 0.157 21.749 0.399 1.0
6 1237655504034661588 256.748098 0.026 35.521385 0.027 22.901 0.277 21.531 0.046 21.037 0.040 20.779 0.048 20.524 0.132 nan
6 1237655504034726581 256.748162 0.021 35.390364 0.021 22.062 0.147 21.027 0.033 20.737 0.032 20.573 0.040 20.290 0.112 0.0
3 1237655504034727079 256.748749 0.221 35.417848 0.163 24.006 0.651 24.655 0.546 22.692 0.178 22.492 0.226 21.845 0.430 1.0
6 1237655504034661144 256.748841 0.020 35.524261 0.021 22.074 0.146 21.210 0.036 20.809 0.034 20.717 0.046 20.468 0.127 nan
6 1237655504034661570 256.748989 0.021 35.532281 0.022 24.087 0.585 22.426 0.093 20.934 0.037 20.016 0.026 19.535 0.057 nan
6 1237655504034727204 256.749258 0.068 35.453155 0.070 23.828 0.561 24.309 0.435 23.149 0.244 21.163 0.067 20.279 0.115 0.0
3 1237655504034726615 256.749294 0.126 35.500196 0.126 23.688 0.821 22.577 0.173 22.367 0.200 23.372 0.689 23.139 0.886 1.0
3 1237655504034792775 256.749528 0.109 35.316352 0.125 23.239 0.405 23.830 0.335 22.708 0.178 23.181 0.395 23.172 0.576 nan
3 1237655504034726887 256.749857 0.092 35.386811 0.103 22.439 0.266 22.357 0.123 21.609 0.088 21.174 0.093 21.351 0.383 1.0
6 1237655504034792287 256.749946 0.135 35.318837 0.133 23.510 0.435 23.165 0.179 23.339 0.262 22.836 0.263 23.001 0.521 nan
6 1237655504034726139 256.750011 0.002 35.371431 0.002 20.134 0.037 17.865 0.006 16.889 0.004 16.512 0.005 16.304 0.007 0.0
3 1237655504034727092 256.750365 0.131 35.405732 0.168 23.873 0.703 22.817 0.171 22.260 0.144 21.564 0.121 21.708 0.458 1.0
3 1237655504034726949 256.750932 0.152 35.345778 0.136 22.589 0.447 22.122 0.146 22.277 0.231 22.905 0.628 23.959 0.735 1.0
6 1237655504034727217 256.750943 0.109 35.430472 0.107 24.441 0.678 23.926 0.335 23.202 0.248 22.247 0.164 22.496 0.532 0.0
3 1237655504034726649 256.750946 0.116 35.482473 0.113 23.845 0.739 22.631 0.149 22.155 0.136 22.404 0.260 21.998 0.571 1.0
3 1237655504034661571 256.750973 0.131 35.532618 0.121 24.043 0.596 23.152 0.174 22.846 0.186 22.605 0.229 21.804 0.375 nan
6 1237655504034727256 256.751019 0.111 35.354939 0.115 23.748 0.526 24.096 0.384 23.784 0.385 22.157 0.156 21.654 0.351 0.0
3 1237655504034726812 256.751099 0.102 35.422177 0.108 24.606 0.769 22.884 0.159 22.239 0.124 21.903 0.139 21.130 0.256 1.0
3 1237655504034661649 256.751372 0.027 35.503024 0.026 22.645 0.273 21.438 0.050 20.480 0.030 19.887 0.028 19.417 0.064 1.0
6 1237655504034726140 256.751386 0.002 35.373387 0.002 18.281 0.013 17.193 0.004 16.849 0.004 16.738 0.005 16.685 0.009 0.0
6 1237655504034661862 256.751534 0.059 35.514215 0.065 25.138 0.600 23.579 0.254 22.237 0.113 20.918 0.056 20.351 0.119 nan
6 1237655504034727269 256.751621 0.112 35.473868 0.133 24.657 0.725 24.171 0.416 24.625 0.591 24.227 0.612 20.829 0.193 0.0
6 1237655504034726811 256.752073 0.128 35.421644 0.098 26.297 0.520 24.242 0.749 21.972 0.161 20.801 0.090 20.083 0.176 0.0
3 1237655504034727004 256.752099 0.100 35.489395 0.111 23.773 0.670 23.643 0.334 21.924 0.107 21.260 0.100 20.628 0.195 1.0
3 1237655504034792281 256.752222 0.096 35.325484 0.085 23.504 0.475 22.504 0.111 22.093 0.103 21.667 0.110 21.593 0.349 1.0
6 1237655504034727263 256.752596 0.097 35.335351 0.116 24.524 0.785 24.170 0.442 23.300 0.304 21.817 0.133 20.558 0.162 0.0
6 1237655504034726992 256.752731 0.048 35.495189 0.053 25.035 0.592 23.311 0.199 21.829 0.077 20.790 0.047 20.407 0.121 0.0
3 1237655504034726908 256.753106 0.125 35.378793 0.161 22.444 0.369 21.594 0.089 20.345 0.043 19.911 0.049 19.710 0.173 1.0
3 1237655504034726880 256.753305 0.040 35.392018 0.041 22.769 0.370 21.511 0.064 21.008 0.056 20.727 0.068 20.461 0.196 1.0
6 1237655504034661633 256.753999 0.037 35.510424 0.036 23.810 0.517 22.584 0.107 21.555 0.061 21.241 0.069 20.870 0.175 nan
3 1237655504034727258 256.754320 0.117 35.353812 0.118 24.517 0.791 23.821 0.354 22.981 0.237 22.064 0.164 21.486 0.352 1.0
3 1237651252057998525 256.754352 0.214 35.530701 0.302 24.774 1.446 22.166 0.139 21.402 0.113 21.445 0.167 20.715 0.308 nan
6 1237655504034726645 256.754633 0.070 35.487116 0.070 25.478 0.480 23.719 0.283 22.192 0.105 20.865 0.050 20.073 0.092 0.0
3 1237655504034727051 256.754754 0.100 35.443124 0.106 24.387 0.766 23.840 0.357 22.696 0.189 22.037 0.161 21.611 0.384 1.0
6 1237655504034726035 256.754941 0.001 35.419100 0.001 17.593 0.009 16.184 0.004 15.725 0.004 15.585 0.004 15.525 0.005 0.0
6 1237655504034726532 256.754968 0.034 35.479886 0.036 22.070 0.149 21.601 0.051 21.273 0.051 21.006 0.059 21.204 0.248 0.0
6 1237655504034727059 256.755106 0.086 35.439479 0.090 23.654 0.499 23.723 0.294 22.408 0.132 21.824 0.119 21.382 0.286 0.0
6 1237655504034727094 256.755236 0.063 35.407117 0.065 24.802 0.805 23.039 0.194 21.677 0.081 21.146 0.077 20.730 0.197 0.0
3 1237655504034792307 256.755277 0.130 35.313171 0.139 23.640 0.593 22.978 0.185 22.470 0.161 22.051 0.178 21.339 0.332 nan
3 1237655504034726646 256.755353 0.111 35.486412 0.112 23.934 0.863 22.875 0.206 21.970 0.131 23.695 0.763 22.530 0.831 1.0
3 1237655504034726957 256.755413 0.095 35.346317 0.092 23.509 0.495 22.803 0.150 22.483 0.151 22.769 0.288 22.441 0.585 1.0
3 1237655504034792763 256.755475 0.088 35.327920 0.108 23.768 0.604 24.131 0.433 22.631 0.176 22.502 0.243 21.927 0.477 1.0
3 1237655504034661592 256.755618 0.063 35.524433 0.071 23.350 0.428 22.366 0.098 21.734 0.079 21.985 0.150 20.917 0.211 nan
3 1237655504034726633 256.755649 0.066 35.490732 0.066 22.544 0.266 21.766 0.069 21.499 0.074 21.299 0.097 21.022 0.273 1.0
3 1237655504034726634 256.755790 0.088 35.492558 0.091 23.904 0.656 22.610 0.130 22.103 0.114 21.731 0.126 21.763 0.432 1.0
6 1237655504034661640 256.756148 0.042 35.507562 0.045 25.315 0.563 22.685 0.123 21.488 0.060 20.805 0.051 20.426 0.127 0.0
3 1237655504034661867 256.756249 0.141 35.513642 0.144 24.193 0.878 23.224 0.252 22.348 0.167 21.663 0.145 21.496 0.426 nan
3 1237655504034792291 256.756278 0.517 35.318776 0.835 23.840 0.740 22.819 0.176 22.442 0.204 22.347 0.253 22.302 0.675 nan
6 1237655504034727072 256.756381 0.067 35.428634 0.068 25.268 0.562 23.801 0.303 22.076 0.096 21.088 0.061 20.590 0.146 0.0
3 1237655504034727045 256.756679 0.139 35.448479 0.120 23.227 0.453 24.070 0.456 22.454 0.165 21.906 0.159 22.416 0.662 1.0
6 1237655504034661611 256.756974 0.044 35.521659 0.045 24.467 0.656 23.308 0.195 21.856 0.079 21.291 0.073 21.024 0.200 nan
6 1237654952671969543 256.756983 0.098 35.535886 0.096 24.251 0.734 24.999 0.500 24.336 0.564 22.537 0.239 21.622 0.356 nan
3 1237655504034727110 256.757136 0.178 35.393624 0.213 24.092 1.337 22.503 0.212 21.712 0.148 20.896 0.115 21.112 0.495 1.0
3 1237655504034792774 256.757294 0.126 35.321293 0.124 24.772 0.900 23.717 0.365 22.263 0.146 21.131 0.086 20.400 0.164 nan
6 1237655504034726346 256.757376 0.004 35.373651 0.004 20.336 0.042 18.792 0.008 18.188 0.007 17.962 0.008 17.834 0.017 0.0
6 1237655504034726202 256.757380 0.007 35.496532 0.007 21.812 0.119 20.053 0.017 19.266 0.012 18.955 0.013 18.827 0.034 0.0
3 1237655504034726939 256.757558 0.122 35.355083 0.116 24.132 0.846 22.736 0.170 21.581 0.085 21.003 0.080 20.633 0.206 1.0
6 1237655504034726168 256.757705 0.001 35.340815 0.001 17.026 0.007 15.613 0.003 15.081 0.004 14.893 0.004 14.801 0.005 0.0
6 1237655504034727277 256.757793 0.111 35.333093 0.121 25.095 0.595 25.158 0.523 24.356 0.492 24.172 0.533 20.940 0.190 0.0
6 1237655504034661591 256.757948 0.061 35.524594 0.056 24.569 0.712 23.548 0.255 21.761 0.078 20.533 0.042 19.665 0.069 nan
3 1237655504034726989 256.758043 0.122 35.500531 0.140 25.025 0.867 22.925 0.198 22.311 0.161 21.666 0.140 21.943 0.575 1.0
6 1237655504034661612 256.758413 0.016 35.521657 0.017 23.847 0.535 22.015 0.068 20.462 0.026 19.429 0.018 18.929 0.036 nan
6 1237655504034726937 256.758516 0.034 35.359861 0.034 24.436 0.666 22.763 0.132 21.278 0.049 20.377 0.035 19.858 0.078 0.0
6 1237654952671969542 256.758826 0.001 35.536587 0.001 17.326 0.008 16.225 0.004 15.849 0.004 15.697 0.004 15.664 0.006 nan
3 1237655504034726901 256.758835 0.078 35.385888 0.077 23.356 0.673 22.379 0.150 20.997 0.062 20.147 0.047 19.489 0.095 1.0
3 1237655504034727126 256.759192 0.139 35.364981 0.131 23.828 0.679 23.826 0.388 22.219 0.137 21.822 0.148 21.950 0.536 1.0
3 1237655504034726170 256.759297 0.075 35.340735 0.085 22.951 0.315 22.808 0.148 22.350 0.129 21.487 0.091 21.000 0.212 1.0
3 1237655504034661152 256.759642 0.087 35.514968 0.073 20.131 0.081 19.152 0.017 18.729 0.018 18.494 0.022 18.267 0.064 nan
3 1237655504034661610 256.759759 0.041 35.521931 0.051 22.413 0.237 21.391 0.050 20.838 0.043 20.535 0.052 20.173 0.129 nan
3 1237655504034726630 256.759839 0.051 35.492981 0.049 23.570 0.564 21.924 0.075 21.095 0.051 20.641 0.053 20.898 0.232 1.0
6 1237655504034726239 256.759844 0.002 35.472829 0.002 19.956 0.033 17.560 0.005 16.522 0.004 16.160 0.005 15.966 0.006 0.0
3 1237655504034726171 256.760074 0.163 35.342827 0.163 23.924 0.552 24.676 0.491 23.715 0.351 21.812 0.110 20.848 0.175 1.0
6 1237655504034726659 256.760149 0.039 35.482768 0.036 24.650 0.702 22.412 0.100 21.342 0.054 20.844 0.053 20.591 0.153 0.0
3 1237655504034727279 256.760157 0.193 35.430058 0.190 24.728 1.183 23.596 0.425 22.185 0.175 22.057 0.246 22.400 0.893 1.0
6 1237655504034726333 256.760511 0.004 35.383896 0.004 22.314 0.176 19.675 0.013 18.410 0.008 17.762 0.007 17.356 0.013 0.0
3 1237655504034727291 256.760534 0.253 35.459818 0.290 22.442 7.220 22.025 2.131 20.553 0.884 22.136 6.077 17.274 0.234 1.0
3 1237655504034726570 256.760702 0.190 35.435558 0.255 23.410 0.746 22.720 0.212 21.566 0.110 21.231 0.131 21.603 0.618 1.0
6 1237655504034661864 256.760935 0.110 35.517587 0.132 24.445 0.752 23.711 0.303 22.180 0.118 21.743 0.125 21.070 0.241 nan
6 1237655504034791482 256.760938 0.001 35.314970 0.001 18.031 0.012 16.291 0.004 15.595 0.004 15.311 0.004 15.170 0.005 nan
6 1237655504034726242 256.761221 0.127 35.473968 0.162 25.026 0.603 23.913 0.323 23.235 0.250 22.230 0.157 21.255 0.248 0.0
3 1237655504034726818 256.761500 0.024 35.424873 0.024 22.651 0.323 21.082 0.043 20.190 0.028 19.694 0.027 19.492 0.080 1.0
6 1237655504034726169 256.761831 0.009 35.340521 0.009 24.322 0.635 20.949 0.031 19.642 0.015 18.671 0.011 18.147 0.021 0.0
3 1237655504034726695 256.761983 0.123 35.467716 0.111 22.636 0.326 22.559 0.156 21.780 0.108 21.503 0.131 22.783 0.836 1.0
3 1237655504034793149 256.761985 0.163 35.327839 0.155 24.956 0.770 25.906 0.489 23.470 0.358 22.191 0.192 21.427 0.352 1.0
6 1237655504034726910 256.761999 0.038 35.380472 0.037 25.102 0.641 21.982 0.072 21.366 0.055 21.042 0.062 21.152 0.245 0.0
3 1237655504034726746 256.762123 0.119 35.448731 0.115 25.084 0.895 22.636 0.165 22.232 0.158 21.779 0.163 22.620 0.807 1.0
3 1237655504034726948 256.762511 0.067 35.351538 0.074 22.901 0.496 21.710 0.089 20.565 0.045 20.218 0.054 19.827 0.134 1.0
3 1237655504034726211 256.762617 0.098 35.495292 0.100 25.268 0.869 24.780 0.778 21.913 0.130 21.302 0.117 21.763 0.571 1.0
3 1237655504034727011 256.762841 0.125 35.486943 0.125 24.289 0.781 23.706 0.328 22.257 0.134 22.247 0.204 21.846 0.473 1.0
3 1237655504034726683 256.762950 0.032 35.475988 0.031 22.681 0.387 21.273 0.058 20.262 0.034 19.874 0.037 19.677 0.114 1.0
3 1237655504034726906 256.763286 0.090 35.387329 0.081 24.862 0.674 24.320 0.451 22.431 0.134 22.059 0.145 21.532 0.328 1.0
3 1237655504034726210 256.763372 0.007 35.496529 0.007 21.428 0.131 19.386 0.014 18.215 0.008 17.729 0.008 17.345 0.016 1.0
6 1237655504034661877 256.763426 0.130 35.508873 0.128 24.005 0.563 23.958 0.319 22.968 0.199 22.398 0.185 21.520 0.292 0.0
3 1237655504034726664 256.763573 0.111 35.483253 0.116 23.486 0.524 22.824 0.160 21.923 0.101 21.843 0.144 21.652 0.417 1.0
3 1237655504034727260 256.763706 0.104 35.354100 0.106 23.646 0.598 23.704 0.346 22.809 0.220 21.589 0.119 21.458 0.367 1.0
3 1237651252057998865 256.763732 0.156 35.520858 0.157 24.897 0.889 23.605 0.303 22.602 0.194 22.399 0.229 21.775 0.423 nan
6 1237655504034726819 256.763812 0.079 35.424537 0.082 24.539 0.658 24.603 0.477 22.482 0.133 21.377 0.076 20.973 0.195 0.0
6 1237655504034726892 256.764097 0.100 35.394233 0.120 23.352 0.483 22.567 0.132 22.149 0.123 22.097 0.179 21.223 0.301 0.0
3 1237654952671970586 256.765029 0.036 35.527781 0.037 22.543 0.283 21.325 0.046 20.821 0.044 20.728 0.061 20.248 0.142 nan
6 1237655504034726905 256.765073 0.049 35.387095 0.045 26.068 0.329 22.819 0.143 21.593 0.066 20.044 0.028 19.206 0.048 0.0
6 1237655504034727138 256.765200 0.101 35.350449 0.097 23.272 0.464 23.790 0.375 22.286 0.142 21.672 0.127 21.108 0.285 0.0
6 1237655504034727216 256.765244 0.122 35.441482 0.108 23.659 0.521 24.756 0.543 23.362 0.300 22.035 0.148 21.032 0.227 0.0
6 1237655504034726223 256.765252 0.001 35.492067 0.001 20.013 0.034 17.536 0.005 16.173 0.004 15.354 0.004 14.909 0.004 0.0
6 1237655504034727128 256.765308 0.102 35.367521 0.121 25.947 0.346 24.924 0.525 22.899 0.188 23.724 0.465 22.002 0.423 0.0
6 1237655504034726241 256.765499 0.043 35.472023 0.044 23.494 0.435 22.355 0.091 21.745 0.072 21.850 0.114 21.452 0.287 0.0
3 1237655504034726835 256.765549 0.055 35.417830 0.049 23.200 0.405 23.036 0.187 21.340 0.059 20.564 0.046 20.116 0.111 1.0
6 1237651252057997527 256.765826 0.017 35.521862 0.018 22.240 0.183 21.135 0.034 20.619 0.031 20.357 0.033 20.203 0.097 nan
3 1237655504034727238 256.765915 0.117 35.403792 0.099 24.163 0.856 23.626 0.351 23.025 0.287 21.803 0.155 22.014 0.586 1.0
3 1237655504034726661 256.766205 0.062 35.485403 0.059 23.682 0.623 22.972 0.188 21.698 0.085 21.430 0.103 21.041 0.263 1.0
3 1237655504034726882 256.766255 0.112 35.396597 0.159 25.125 0.904 22.463 0.142 21.538 0.088 21.333 0.112 21.157 0.346 1.0
6 1237655504034726283 256.766491 0.003 35.425919 0.003 21.903 0.127 19.440 0.012 18.004 0.006 16.856 0.005 16.253 0.007 0.0
6 1237655504034726240 256.766615 0.051 35.471552 0.061 24.474 0.687 23.683 0.282 21.802 0.079 20.372 0.036 19.720 0.071 0.0
6 1237655504034792783 256.766818 0.071 35.317372 0.069 25.964 0.331 23.689 0.266 22.376 0.118 21.165 0.064 20.335 0.113 nan
6 1237655504034661980 256.766860 0.090 35.511996 0.098 23.453 0.413 24.171 0.365 23.177 0.236 22.321 0.173 22.155 0.439 0.0
3 1237655504034792325 256.767059 0.069 35.312839 0.063 23.385 0.453 22.855 0.156 22.003 0.098 21.646 0.112 21.138 0.255 nan
3 1237655504034726662 256.767378 0.247 35.486312 0.336 24.033 0.779 22.992 0.199 22.534 0.187 22.107 0.193 21.836 0.502 1.0
6 1237655504034727029 256.767524 0.130 35.467255 0.128 25.896 0.370 24.302 0.426 22.730 0.171 22.298 0.174 22.029 0.441 0.0
6 1237655504034727242 256.767726 0.078 35.389818 0.083 24.053 0.578 24.427 0.442 23.122 0.224 21.886 0.116 20.740 0.160 0.0
6 1237655504034726302 256.767841 0.004 35.410740 0.004 20.065 0.035 18.877 0.009 18.461 0.008 18.284 0.009 18.243 0.022 0.0
3 1237655504034726988 256.768326 0.128 35.509483 0.150 23.748 0.864 23.173 0.292 21.311 0.082 20.675 0.074 20.044 0.153 1.0
3 1237654952671969582 256.768330 0.218 35.522431 0.272 24.635 0.903 25.435 0.573 24.613 0.729 22.654 0.310 22.672 0.716 nan
6 1237655504034726965 256.768540 0.070 35.345564 0.065 24.941 0.688 22.943 0.164 22.039 0.100 20.359 0.037 19.637 0.070 0.0
6 1237655504034726463 256.768797 0.008 35.380106 0.007 22.077 0.145 20.189 0.018 19.420 0.013 19.134 0.014 18.991 0.038 0.0
6 1237655504034792780 256.768870 0.094 35.319208 0.097 24.388 0.680 23.521 0.244 22.710 0.164 22.449 0.203 22.125 0.463 nan
6 1237655504034726890 256.768895 0.018 35.398001 0.018 23.634 0.482 21.899 0.064 20.564 0.028 19.707 0.021 19.295 0.049 0.0
3 1237654952671969574 256.769423 0.047 35.524128 0.048 24.122 0.852 21.868 0.071 20.935 0.049 20.389 0.046 20.335 0.154 nan
3 1237654952671970553 256.769452 0.094 35.537548 0.075 25.086 0.921 22.786 0.163 21.923 0.120 21.812 0.192 21.397 0.404 nan
3 1237651252057997534 256.769616 0.177 35.515857 0.153 25.488 1.161 24.181 0.767 21.742 0.155 22.340 0.376 22.429 1.055 1.0
6 1237651252057997532 256.769689 0.108 35.516332 0.111 24.237 0.714 24.938 0.509 24.073 0.478 22.308 0.169 22.544 0.487 nan
6 1237655504034726264 256.769801 0.003 35.452364 0.003 21.314 0.081 18.993 0.009 18.001 0.006 17.643 0.007 17.446 0.013 0.0
6 1237655504034727262 256.769829 0.107 35.348525 0.110 24.312 0.667 25.520 0.512 23.311 0.275 22.266 0.172 21.673 0.352 0.0
3 1237655504034726874 256.769916 0.068 35.402526 0.063 23.559 0.619 22.759 0.171 21.420 0.073 20.142 0.038 19.743 0.095 1.0
3 1237655504034792285 256.770320 0.195 35.330389 0.198 23.469 0.491 22.765 0.145 22.683 0.181 22.257 0.192 21.096 0.250 1.0
6 1237655504034726891 256.770606 0.053 35.397503 0.052 23.579 0.514 23.722 0.320 21.845 0.086 20.278 0.035 19.429 0.060 0.0
6 1237655504034726274 256.770686 0.004 35.432931 0.004 21.685 0.107 19.305 0.011 18.423 0.008 18.134 0.008 17.944 0.018 0.0
6 1237655504034726931 256.770707 0.028 35.370837 0.028 23.829 0.520 22.564 0.109 21.176 0.045 19.630 0.020 18.777 0.033 0.0
3 1237655504034725990 256.770900 0.048 35.472364 0.041 22.016 0.206 21.130 0.048 20.348 0.033 19.989 0.037 19.736 0.108 1.0
6 1237655504034726470 256.771014 0.010 35.361414 0.010 23.297 0.372 21.021 0.033 19.729 0.016 19.090 0.014 18.755 0.032 0.0
3 1237655504034727280 256.771603 0.242 35.376899 0.170 23.533 0.548 23.634 0.318 22.782 0.207 22.910 0.357 23.444 0.576 1.0
3 1237654952671969576 256.771632 0.127 35.516211 0.109 25.111 0.864 23.633 0.315 21.788 0.103 21.116 0.086 21.756 0.501 1.0
6 1237655504034791452 256.771687 0.013 35.335109 0.012 23.949 0.576 21.213 0.037 20.084 0.020 19.703 0.021 20.056 0.092 0.0
6 1237655504034727132 256.771834 0.067 35.363851 0.056 24.630 0.752 23.800 0.334 21.865 0.088 21.198 0.075 20.713 0.181 0.0
3 1237655504034791456 256.772011 0.048 35.333160 0.042 25.024 0.871 22.146 0.102 21.001 0.052 20.382 0.048 21.720 0.494 1.0
3 1237655504034727181 256.772043 0.101 35.492841 0.116 23.462 0.486 24.496 0.526 23.887 0.471 21.718 0.122 20.997 0.237 1.0
6 1237655504034725989 256.772351 0.002 35.470216 0.002 17.838 0.011 16.823 0.004 16.562 0.004 16.461 0.005 16.462 0.008 0.0
3 1237655504034792312 256.772584 0.144 35.318828 0.139 23.012 0.456 22.491 0.148 22.111 0.143 22.432 0.305 21.766 0.562 nan
3 1237655504034726471 256.772606 0.064 35.361128 0.066 24.228 0.749 22.868 0.163 21.681 0.079 21.338 0.090 21.108 0.266 1.0
6 1237655504034727214 256.772623 0.081 35.445914 0.080 25.065 0.616 24.740 0.511 23.429 0.297 21.577 0.093 20.458 0.131 0.0
6 1237655504034726963 256.772736 0.077 35.350247 0.073 23.118 0.338 22.294 0.090 22.172 0.104 21.945 0.128 21.500 0.307 0.0
6 1237655504034726378 256.773038 0.009 35.503367 0.009 21.956 0.134 20.319 0.020 19.527 0.014 19.285 0.016 19.066 0.041 0.0
6 1237654952671969580 256.773205 0.142 35.518190 0.106 23.492 0.668 22.863 0.180 21.505 0.085 20.578 0.057 22.827 0.778 nan
3 1237651252057999018 256.773614 0.102 35.509788 0.090 24.544 1.088 24.281 0.575 23.181 0.374 21.377 0.112 20.398 0.169 1.0
6 1237655504034726409 256.773621 0.008 35.465402 0.008 23.278 0.366 20.882 0.029 19.544 0.014 18.911 0.012 18.579 0.028 0.0
3 1237655504034727196 256.773634 0.085 35.474342 0.096 24.565 0.659 24.367 0.425 22.937 0.197 22.020 0.132 20.855 0.180 1.0
6 1237655504034726497 256.773680 0.016 35.498318 0.017 24.061 0.601 21.804 0.060 20.396 0.026 18.872 0.012 18.045 0.020 0.0
3 1237655504034791459 256.773829 0.107 35.333554 0.093 24.443 0.744 24.985 0.581 22.063 0.104 22.295 0.195 22.562 0.595 1.0
6 1237655504034726425 256.774069 0.007 35.457825 0.007 22.940 0.285 20.403 0.021 19.268 0.012 18.758 0.011 18.487 0.026 0.0
3 1237655504034727103 256.774098 0.098 35.407417 0.088 26.336 0.578 23.469 0.483 21.468 0.116 20.250 0.062 19.751 0.149 1.0
6 1237655504034726443 256.774249 0.024 35.414847 0.023 24.395 0.663 22.498 0.104 20.961 0.038 19.181 0.015 18.175 0.021 0.0
6 1237655504034726902 256.774332 0.034 35.392297 0.034 22.884 0.274 22.217 0.083 21.307 0.050 21.083 0.060 20.619 0.147 0.0
3 1237655504034726426 256.774481 0.037 35.455985 0.035 23.904 0.734 21.307 0.048 20.653 0.037 20.302 0.042 19.853 0.101 1.0
3 1237655504034726814 256.774511 0.019 35.431732 0.017 22.742 0.290 21.073 0.038 20.033 0.021 19.600 0.022 19.319 0.059 1.0
3 1237655504034726181 256.774604 0.036 35.340522 0.043 24.539 1.447 20.749 0.045 20.180 0.038 19.863 0.044 22.312 1.050 1.0
6 1237655504034727221 256.774674 0.090 35.438818 0.085 25.032 0.621 24.113 0.379 23.809 0.389 21.906 0.123 21.315 0.266 0.0
6 1237654952671969573 256.774721 0.033 35.525291 0.040 24.734 0.808 22.284 0.089 21.210 0.055 20.521 0.046 20.729 0.187 nan
6 1237655504034726338 256.774758 0.024 35.388472 0.025 24.246 0.621 22.390 0.094 20.946 0.037 19.428 0.017 18.685 0.030 0.0
6 1237654952671969569 256.775046 0.027 35.523600 0.025 24.635 0.817 22.341 0.093 20.834 0.040 19.017 0.014 18.317 0.026 nan
3 1237655504034727019 256.775127 0.177 35.480861 0.245 24.758 0.721 23.386 0.231 22.772 0.190 21.932 0.136 22.086 0.480 1.0
6 1237655504034726774 256.775277 0.083 35.445985 0.073 24.133 0.605 22.323 0.089 22.637 0.155 22.597 0.216 21.899 0.393 0.0
6 1237654952671969568 256.775297 0.044 35.520880 0.043 15.029 0.007 12.627 0.001 12.098 0.001 11.979 0.001 13.365 0.008 nan
3 1237655504034726773 256.775562 0.042 35.446491 0.045 24.204 0.780 23.141 0.225 21.245 0.058 20.571 0.049 20.527 0.172 1.0
3 1237655504034727197 256.775708 0.180 35.473317 0.244 22.219 0.485 22.522 0.312 21.745 0.222 20.652 0.136 20.034 0.286 1.0
6 1237654952671969981 256.775860 0.050 35.512727 0.051 24.161 0.744 22.754 0.129 21.588 0.073 21.175 0.076 20.753 0.188 0.0
6 1237655504034727183 256.775889 0.066 35.492101 0.067 23.183 0.342 23.633 0.260 22.955 0.202 21.013 0.057 20.313 0.114 0.0
6 1237654952671969579 256.775913 0.139 35.525854 0.144 24.534 0.836 25.625 0.495 24.523 0.660 22.083 0.176 23.591 0.516 nan
6 1237655504034727129 256.776052 0.130 35.370980 0.124 23.406 0.421 23.809 0.315 22.689 0.167 21.959 0.133 21.301 0.272 0.0
3 1237655504034726671 256.776063 0.181 35.486114 0.138 24.876 1.182 23.710 0.486 21.545 0.107 21.563 0.169 21.752 0.668 1.0
3 1237655504034726444 256.776175 0.012 35.414759 0.016 21.244 0.107 20.053 0.021 19.132 0.013 18.715 0.014 18.448 0.036 1.0
3 1237655504034727226 256.776329 0.091 35.435993 0.095 24.444 0.772 25.346 0.603 23.273 0.299 21.663 0.116 20.532 0.159 1.0
3 1237655504034726736 256.776367 0.096 35.462107 0.130 22.447 0.321 21.710 0.086 21.085 0.068 20.760 0.084 20.361 0.204 1.0
3 1237655504034791453 256.776445 0.072 35.340227 0.071 25.665 0.808 22.303 0.133 19.895 0.024 19.398 0.024 19.013 0.060 1.0
6 1237655504034791450 256.776485 0.002 35.334016 0.002 18.842 0.018 17.526 0.005 17.076 0.005 16.901 0.005 16.893 0.010 0.0
3 1237654952671969581 256.776667 0.269 35.515561 0.237 24.187 0.817 25.360 0.571 24.815 0.712 22.468 0.258 22.585 0.676 1.0
